| table_name            | column_name            | data_type                   |
| --------------------- | ---------------------- | --------------------------- |
| blocked_ips           | id                     | uuid                        |
| blocked_ips           | ip_address             | inet                        |
| blocked_ips           | reason                 | text                        |
| blocked_ips           | blocked_at             | timestamp with time zone    |
| blocked_ips           | blocked_until          | timestamp with time zone    |
| blocked_ips           | failed_attempts        | integer                     |
| blocked_ips           | is_permanent           | boolean                     |
| blocked_ips           | created_by             | uuid                        |
| blocked_ips           | created_at             | timestamp with time zone    |
| failed_auth_attempts  | id                     | uuid                        |
| failed_auth_attempts  | ip_address             | inet                        |
| failed_auth_attempts  | attempted_email        | character varying           |
| failed_auth_attempts  | user_agent             | text                        |
| failed_auth_attempts  | endpoint               | character varying           |
| failed_auth_attempts  | failure_reason         | text                        |
| failed_auth_attempts  | timestamp              | timestamp with time zone    |
| failed_auth_attempts  | created_at             | timestamp with time zone    |
| indexing_jobs         | id                     | uuid                        |
| indexing_jobs         | user_id                | uuid                        |
| indexing_jobs         | name                   | text                        |
| indexing_jobs         | schedule               | USER-DEFINED                |
| indexing_jobs         | status                 | USER-DEFINED                |
| indexing_jobs         | total_urls             | integer                     |
| indexing_jobs         | processed_urls         | integer                     |
| indexing_jobs         | successful_urls        | integer                     |
| indexing_jobs         | failed_urls            | integer                     |
| indexing_jobs         | sitemap_url            | text                        |
| indexing_jobs         | manual_urls            | ARRAY                       |
| indexing_jobs         | cron_expression        | text                        |
| indexing_jobs         | next_run               | timestamp without time zone |
| indexing_jobs         | last_run               | timestamp without time zone |
| indexing_jobs         | created_at             | timestamp without time zone |
| indexing_jobs         | updated_at             | timestamp without time zone |
| quota_usage           | id                     | uuid                        |
| quota_usage           | service_account_id     | uuid                        |
| quota_usage           | date                   | date                        |
| quota_usage           | requests_count         | integer                     |
| security_analytics    | id                     | uuid                        |
| security_analytics    | date                   | date                        |
| security_analytics    | total_events           | integer                     |
| security_analytics    | auth_failures          | integer                     |
| security_analytics    | suspicious_requests    | integer                     |
| security_analytics    | blocked_ips            | integer                     |
| security_analytics    | vulnerability_scans    | integer                     |
| security_analytics    | brute_force_attempts   | integer                     |
| security_analytics    | unique_ips             | integer                     |
| security_analytics    | high_risk_events       | integer                     |
| security_analytics    | created_at             | timestamp with time zone    |
| security_analytics    | updated_at             | timestamp with time zone    |
| security_events       | id                     | uuid                        |
| security_events       | event_type             | character varying           |
| security_events       | severity               | character varying           |
| security_events       | ip_address             | inet                        |
| security_events       | user_agent             | text                        |
| security_events       | user_id                | uuid                        |
| security_events       | request_url            | text                        |
| security_events       | request_method         | character varying           |
| security_events       | request_body           | jsonb                       |
| security_events       | request_query          | jsonb                       |
| security_events       | details                | jsonb                       |
| security_events       | timestamp              | timestamp with time zone    |
| security_events       | created_at             | timestamp with time zone    |
| service_accounts      | id                     | uuid                        |
| service_accounts      | user_id                | uuid                        |
| service_accounts      | name                   | text                        |
| service_accounts      | client_email           | text                        |
| service_accounts      | project_id             | text                        |
| service_accounts      | is_active              | boolean                     |
| service_accounts      | daily_quota_limit      | integer                     |
| service_accounts      | per_minute_quota_limit | integer                     |
| service_accounts      | created_at             | timestamp without time zone |
| service_accounts      | updated_at             | timestamp without time zone |
| service_accounts      | service_account_json   | text                        |
| service_accounts      | access_token           | text                        |
| service_accounts      | token_expires_at       | timestamp with time zone    |
| suspicious_activities | id                     | uuid                        |
| suspicious_activities | ip_address             | inet                        |
| suspicious_activities | activity_type          | character varying           |
| suspicious_activities | user_agent             | text                        |
| suspicious_activities | request_url            | text                        |
| suspicious_activities | request_method         | character varying           |
| suspicious_activities | detected_patterns      | ARRAY                       |
| suspicious_activities | risk_score             | integer                     |
| suspicious_activities | timestamp              | timestamp with time zone    |
| suspicious_activities | created_at             | timestamp with time zone    |
| url_submissions       | id                     | uuid                        |
| url_submissions       | job_id                 | uuid                        |
| url_submissions       | url                    | text                        |
| url_submissions       | status                 | USER-DEFINED                |
| url_submissions       | service_account_id     | uuid                        |
| url_submissions       | error_message          | text                        |
| url_submissions       | submitted_at           | timestamp without time zone |
| url_submissions       | created_at             | timestamp without time zone |
| url_submissions       | updated_at             | timestamp without time zone |
| user_profiles         | id                     | uuid                        |
| user_profiles         | email                  | text                        |
| user_profiles         | full_name              | text                        |
| user_profiles         | created_at             | timestamp without time zone |
| user_profiles         | updated_at             | timestamp without time zone |
