| table_name                          | column_name             | data_type                   |
| ----------------------------------- | ----------------------- | --------------------------- |
| dashboard_stats                     | user_id                 | uuid                        |
| dashboard_stats                     | email                   | text                        |
| dashboard_stats                     | total_service_accounts  | bigint                      |
| dashboard_stats                     | active_service_accounts | bigint                      |
| dashboard_stats                     | total_jobs              | bigint                      |
| dashboard_stats                     | completed_jobs          | bigint                      |
| dashboard_stats                     | failed_jobs             | bigint                      |
| dashboard_stats                     | running_jobs            | bigint                      |
| dashboard_stats                     | total_successful_urls   | bigint                      |
| dashboard_stats                     | total_failed_urls       | bigint                      |
| indb_indexing_jobs                  | id                      | uuid                        |
| indb_indexing_jobs                  | user_id                 | uuid                        |
| indb_indexing_jobs                  | name                    | text                        |
| indb_indexing_jobs                  | schedule                | USER-DEFINED                |
| indb_indexing_jobs                  | status                  | USER-DEFINED                |
| indb_indexing_jobs                  | total_urls              | integer                     |
| indb_indexing_jobs                  | processed_urls          | integer                     |
| indb_indexing_jobs                  | successful_urls         | integer                     |
| indb_indexing_jobs                  | failed_urls             | integer                     |
| indb_indexing_jobs                  | sitemap_url             | text                        |
| indb_indexing_jobs                  | manual_urls             | ARRAY                       |
| indb_indexing_jobs                  | cron_expression         | text                        |
| indb_indexing_jobs                  | next_run                | timestamp without time zone |
| indb_indexing_jobs                  | last_run                | timestamp without time zone |
| indb_indexing_jobs                  | created_at              | timestamp without time zone |
| indb_indexing_jobs                  | updated_at              | timestamp without time zone |
| indb_quota_usage                    | id                      | uuid                        |
| indb_quota_usage                    | service_account_id      | uuid                        |
| indb_quota_usage                    | date                    | date                        |
| indb_quota_usage                    | requests_count          | integer                     |
| indb_security_analytics             | id                      | uuid                        |
| indb_security_analytics             | date                    | date                        |
| indb_security_analytics             | total_events            | integer                     |
| indb_security_analytics             | auth_failures           | integer                     |
| indb_security_analytics             | suspicious_requests     | integer                     |
| indb_security_analytics             | blocked_ips             | integer                     |
| indb_security_analytics             | vulnerability_scans     | integer                     |
| indb_security_analytics             | brute_force_attempts    | integer                     |
| indb_security_analytics             | unique_ips              | integer                     |
| indb_security_analytics             | high_risk_events        | integer                     |
| indb_security_analytics             | created_at              | timestamp with time zone    |
| indb_security_analytics             | updated_at              | timestamp with time zone    |
| indb_security_blocked_ips           | id                      | uuid                        |
| indb_security_blocked_ips           | ip_address              | inet                        |
| indb_security_blocked_ips           | reason                  | text                        |
| indb_security_blocked_ips           | blocked_at              | timestamp with time zone    |
| indb_security_blocked_ips           | blocked_until           | timestamp with time zone    |
| indb_security_blocked_ips           | failed_attempts         | integer                     |
| indb_security_blocked_ips           | is_permanent            | boolean                     |
| indb_security_blocked_ips           | created_by              | uuid                        |
| indb_security_blocked_ips           | created_at              | timestamp with time zone    |
| indb_security_events                | id                      | uuid                        |
| indb_security_events                | event_type              | character varying           |
| indb_security_events                | severity                | character varying           |
| indb_security_events                | ip_address              | inet                        |
| indb_security_events                | user_agent              | text                        |
| indb_security_events                | user_id                 | uuid                        |
| indb_security_events                | request_url             | text                        |
| indb_security_events                | request_method          | character varying           |
| indb_security_events                | request_body            | jsonb                       |
| indb_security_events                | request_query           | jsonb                       |
| indb_security_events                | details                 | jsonb                       |
| indb_security_events                | timestamp               | timestamp with time zone    |
| indb_security_events                | created_at              | timestamp with time zone    |
| indb_security_failed_auth_attempts  | id                      | uuid                        |
| indb_security_failed_auth_attempts  | ip_address              | inet                        |
| indb_security_failed_auth_attempts  | attempted_email         | character varying           |
| indb_security_failed_auth_attempts  | user_agent              | text                        |
| indb_security_failed_auth_attempts  | endpoint                | character varying           |
| indb_security_failed_auth_attempts  | failure_reason          | text                        |
| indb_security_failed_auth_attempts  | timestamp               | timestamp with time zone    |
| indb_security_failed_auth_attempts  | created_at              | timestamp with time zone    |
| indb_security_suspicious_activities | id                      | uuid                        |
| indb_security_suspicious_activities | ip_address              | inet                        |
| indb_security_suspicious_activities | activity_type           | character varying           |
| indb_security_suspicious_activities | user_agent              | text                        |
| indb_security_suspicious_activities | request_url             | text                        |
| indb_security_suspicious_activities | request_method          | character varying           |
